,0
0,['nosql'
1, 'server'
2, 'framework'
3, 'scikit learn'
4, 'design'
5, 'visualization'
6, 'support'
7, 'python'
8, 'numpy']
9,['monitoring'
10, 'business'
11, 'database'
12, 'shell']
13,['documentation'
14, 'business']
15,['algorithm'
16, 'software'
17, 'design'
18, 'business'
19, 'specification'
20, 'collaboration'
21, 'amp']
22,['java'
23, 'kubernetes'
24, 'engineering'
25, 'docker'
26, 'devops'
27, 'software'
28, 'server'
29, 'release'
30, 'support'
31, 'react'
32, 'correctness'
33, 'computer science'
34, 'code generation'
35, 'mobile'
36, 'testing']
37,['python'
38, 'engineering'
39, 'design']
40,['engineering'
41, 'knowledge management'
42, 'semantics'
43, 'system integration'
44, 'cataloging'
45, 'mode'
46, 'computer science'
47, 'visualization'
48, 'support'
49, 'security'
50, 'testing']
51,['simulation'
52, 'collaboration'
53, 'software'
54, 'design'
55, 'business'
56, 'ground truth'
57, 'embedded system'
58, 'amp'
59, 'testing']
60,['engineering'
61, 'design'
62, 'diagram'
63, 'collaboration'
64, 'support']
65,['artificial intelligence'
66, 'engineering'
67, 'collaboration'
68, 'supercomputer'
69, 'visualization'
70, 'ai'
71, 'business']
72,['docker compose'
73, 'influxdb'
74, 'docker'
75, 'rabbitmq'
76, 'flask'
77, 'framework'
78, 'elasticsearch'
79, 'graphql'
80, 'process management'
81, 'gitlab'
82, 'redis'
83, 'airflow'
84, 'postgresql'
85, 'python'
86, 'numpy']
87,['engineering']
88,[]
89,['engineering'
90, 'marketing'
91, 'amp'
92, 'design'
93, 'finance'
94, 'library'
95, 'programming language'
96, 'business'
97, 'publishing'
98, 'computer engineering'
99, 'python']
100,['buddy'
101, 'engineering'
102, 'material'
103, 'amp'
104, 'design'
105, 'support'
106, 'process engineering']
107,['engineering'
108, 'collaboration'
109, 'software'
110, 'finance'
111, 'amp'
112, 'python']
113,['support'
114, 'engineering']
115,['design'
116, 'python'
117, 'visualization'
118, 'monitoring'
119, 'business'
120, 'support'
121, 'database'
122, 'security']
123,['machine learning'
124, 'artificial intelligence'
125, 'engineering'
126, 'tensorflow'
127, 'pytorch'
128, 'design'
129, 'python']
130,['docker compose'
131, 'scalability'
132, 'influxdb'
133, 'docker'
134, 'devops'
135, 'flask'
136, 'framework'
137, 'rabbitmq'
138, 'elasticsearch'
139, 'graphql'
140, 'gitlab'
141, 'redis'
142, 'airflow'
143, 'postgresql'
144, 'python'
145, 'numpy']
146,['github'
147, 'scalability'
148, 'engineering'
149, 'workload'
150, 'kubernetes'
151, 'rabbitmq'
152, 'prometheus'
153, 'devops'
154, 'server'
155, 'elasticsearch'
156, 'design'
157, 'support'
158, 'search engine'
159, 'programming language'
160, 'library'
161, 'monitoring'
162, 'collaboration'
163, 'postgresql']
164,['support']
165,['machine learning'
166, 'database'
167, 'engineering'
168, 'hadoop'
169, 'design'
170, 'programming language'
171, 'business'
172, 'python']
173,['analytics'
174, 'design']
175,['database'
176, 'server'
177, 'design'
178, 'monitoring'
179, 'python']
180,['artificial intelligence'
181, 'snowflake'
182, 'design'
183, 'business'
184, 'visualization'
185, 'collaboration'
186, 'database']
187,['monitoring'
188, 'machine learning'
189, 'ai']
190,['deployment'
191, 'nosql'
192, 'design'
193, 'monitoring'
194, 'support'
195, 'java'
196, 'docker'
197, 'mongodb'
198, 'business'
199, 'mobile'
200, 'testing'
201, 'spring'
202, 'mode'
203, 'database'
204, 'front end'
205, 'kubernetes'
206, 'devops'
207, 'framework'
208, 'angularjs']
209,['engineering'
210, 'python'
211, 'project management'
212, 'support'
213, 'database']
214,['mariadb'
215, 'mongodb'
216, 'support'
217, 'monitoring'
218, 'postgresql'
219, 'mobile'
220, 'database'
221, 'security']
222,['localization']
223,['algorithm'
224, 'github'
225, 'scalability'
226, 'engineering'
227, 'docker'
228, 'business']
229,['algorithm'
230, 'documentation'
231, 'solid modeling'
232, 'engineering'
233, 'software'
234, 'release'
235, 'marketing'
236, 'design'
237, 'scripting language'
238, 'computer science'
239, 'support'
240, 'python'
241, 'testing']
242,['deployment'
243, 'engineering'
244, 'airflow'
245, 'monitoring'
246, 'python']
247,['engineering'
248, 'kafka'
249, 'design'
250, 'support'
251, 'scala'
252, 'azure'
253, 'monitoring'
254, 'business'
255, 'publishing'
256, 'mobile'
257, 'python'
258, 'security']
259,['algorithm'
260, 'machine learning'
261, 'engineering'
262, 'design'
263, 'business'
264, 'python'
265, 'computer science']
266,['algorithm'
267, 'engineering'
268, 'time series'
269, 'python'
270, 'mode'
271, 'git'
272, 'database'
273, 'computer science']
274,['java'
275, 'time series'
276, 'python']
277,['documentation'
278, 'deployment'
279, 'medium'
280, 'framework'
281, 'cataloging'
282, 'amp'
283, 'telephony'
284, 'diagram'
285, 'business'
286, 'support']
287,['documentation'
288, 'engineering'
289, 'design'
290, 'specification'
291, 'business'
292, 'support']
293,[]
294,['specification'
295, 'business'
296, 'support'
297, 'testing']
298,['monitoring'
299, 'specification'
300, 'business'
301, 'support'
302, 'mobile']
303,['business'
304, 'support'
305, 'analytics']
306,['business'
307, 'support'
308, 'engineering'
309, 'design']
310,['business'
311, 'support']
312,['design'
313, 'information management'
314, 'visualization'
315, 'business'
316, 'support'
317, 'python']
318,['documentation'
319, 'collaboration'
320, 'design'
321, 'monitoring'
322, 'specification'
323, 'business'
324, 'support']
325,['deployment'
326, 'marketing'
327, 'amp'
328, 'business'
329, 'collaboration'
330, 'support'
331, 'database']
332,['algorithm'
333, 'certificate'
334, 'terminal'
335, 'mode'
336, 'finance'
337, 'visualization'
338, 'business'
339, 'database']
340,['algorithm'
341, 'machine learning'
342, 'software']
343,['monitoring'
344, 'documentation'
345, 'engineering']
346,['design'
347, 'project management'
348, 'interaction'
349, 'monitoring'
350, 'business'
351, 'support'
352, 'database']
353,['java'
354, 'tableau'
355, 'server'
356, 'operating system'
357, 'python'
358, 'programming language'
359, 'visualization'
360, 'specification'
361, 'database']
362,['simulation'
363, 'marketing'
364, 'segmentation'
365, 'monitoring'
366, 'amp']
367,['segment'
368, 'business'
369, 'marketing']
370,['visualization'
371, 'support'
372, 'tableau']
373,['support']
374,['specification'
375, 'support'
376, 'database'
377, 'relay']
378,['workflow'
379, 'amp'
380, 'finance'
381, 'commerce'
382, 'business'
383, 'support'
384, 'database']
385,['monitoring'
386, 'business'
387, 'support'
388, 'mobile']
389,['documentation'
390, 'component'
391, 'engineering'
392, 'schedule'
393, 'business'
394, 'testing']
395,['certificate'
396, 'segmentation'
397, 'marketing'
398, 'visualization'
399, 'commerce'
400, 'monitoring'
401, 'finance'
402, 'database']
403,['deployment'
404, 'collaboration'
405, 'amp'
406, 'project management'
407, 'business process'
408, 'business'
409, 'support']
410,['monitoring'
411, 'business'
412, 'visualization'
413, 'tableau']
414,['specification'
415, 'business'
416, 'component'
417, 'marketing']
418,['monitoring'
419, 'support'
420, 'marketing'
421, 'python']
422,['documentation'
423, 'schedule'
424, 'business'
425, 'support'
426, 'testing']
427,['material'
428, 'marketing'
429, 'segmentation'
430, 'visualization'
431, 'database']
432,['tableau'
433, 'marketing'
434, 'business'
435, 'support'
436, 'testing']
437,['machine learning'
438, 'business intelligence'
439, 'engineering'
440, 'analytics'
441, 'python'
442, 'query language'
443, 'monitoring'
444, 'business'
445, 'database']
446,['business'
447, 'mode']
448,['segment'
449, 'collaboration'
450, 'support'
451, 'database']
452,['documentation'
453, 'support'
454, 'python']
455,['business']
456,['monitoring'
457, 'software'
458, 'metadata']
459,['marketing'
460, 'design'
461, 'support'
462, 'monitoring'
463, 'business'
464, 'performance monitoring'
465, 'mobile']
466,['deployment'
467, 'engineering'
468, 'project management'
469, 'support'
470, 'computer science']
471,['algorithm'
472, 'machine learning'
473, 'python'
474, 'collaboration'
475, 'support'
476, 'database'
477, 'azure machine learning']
478,['medium'
479, 'server'
480, 'business'
481, 'amp'
482, 'database'
483, 'computer science']
484,['accounting'
485, 'marketing'
486, 'business'
487, 'support'
488, 'database']
489,[]
490,['business intelligence'
491, 'accounting'
492, 'engineering'
493, 'python'
494, 'finance'
495, 'business'
496, 'support'
497, 'database'
498, 'computer science']
499,['amp']
500,['medium'
501, 'server'
502, 'javascript'
503, 'software'
504, 'marketing'
505, 'monitoring'
506, 'python']
507,['search algorithm'
508, 'support'
509, 'visualization'
510, 'database']
511,['machine learning'
512, 'snowflake'
513, 'design'
514, 'airflow'
515, 'business']
516,['machine learning'
517, 'component'
518, 'design'
519, 'project management'
520, 'monitoring'
521, 'specification'
522, 'business'
523, 'user interface'
524, 'database']
525,['collaboration'
526, 'database'
527, 'back office']
528,['artificial intelligence'
529, 'deployment'
530, 'engineering'
531, 'framework'
532, 'marketing'
533, 'amp'
534, 'finance'
535, 'interaction'
536, 'monitoring'
537, 'business'
538, 'support'
539, 'security'
540, 'computer science']
541,['algorithm'
542, 'machine learning'
543, 'artificial intelligence'
544, 'documentation'
545, 'engineering'
546, 'software'
547, 'design'
548, 'support'
549, 'python'
550, 'ai'
551, 'monitoring'
552, 'business'
553, 'amp'
554, 'database']
555,[]
556,['visualization'
557, 'material'
558, 'database'
559, 'segmentation']
560,['machine learning'
561, 'nosql'
562, 'github'
563, 'engineering'
564, 'visualization'
565, 'monitoring'
566, 'business'
567, 'python']
568,['support']
569,['support'
570, 'marketing'
571, 'programming language'
572, 'tableau']
573,['algorithm'
574, 'machine learning'
575, 'segmentation'
576, 'design'
577, 'programming language'
578, 'business'
579, 'python'
580, 'security']
581,['documentation'
582, 'marketing'
583, 'segmentation'
584, 'monitoring'
585, 'business'
586, 'python']
587,['algorithm'
588, 'simulation'
589, 'engineering'
590, 'segmentation'
591, 'amp'
592, 'visualization'
593, 'specification'
594, 'business'
595, 'support']
596,['business intelligence'
597, 'engineering'
598, 'tableau'
599, 'software'
600, 'finance'
601, 'business'
602, 'support'
603, 'python']
604,['machine learning'
605, 'engineering'
606, 'flask'
607, 'framework'
608, 'analytics'
609, 'deep learning'
610, 'django'
611, 'ranking'
612, 'mode'
613, 'ai'
614, 'business'
615, 'python']
616,['machine learning'
617, 'engineering'
618, 'tensorflow'
619, 'computer vision'
620, 'deep learning'
621, 'image processing'
622, 'library'
623, 'ai'
624, 'monitoring'
625, 'business'
626, 'python'
627, 'computer science']
628,['algorithm'
629, 'statistical model'
630, 'marketing'
631, 'support'
632, 'specification'
633, 'ai'
634, 'monitoring'
635, 'amp'
636, 'database']
637,['support'
638, 'project management'
639, 'monitoring'
640, 'amp'
641, 'database']
642,['support'
643, 'python']
644,['machine learning'
645, 'python'
646, 'visualization'
647, 'business'
648, 'database']
649,[]
650,['machine learning'
651, 'business'
652, 'time series'
653, 'segmentation']
654,['algorithm'
655, 'machine learning'
656, 'business']
657,['algorithm']
658,['machine learning'
659, 'azure'
660, 'software'
661, 'marketing'
662, 'segmentation'
663, 'design'
664, 'random forest'
665, 'commerce'
666, 'amp'
667, 'python']
668,['python']
669,['machine learning'
670, 'tableau'
671, 'python'
672, 'deep learning'
673, 'mode'
674, 'database']
675,[]
676,['machine learning'
677, 'docker'
678, 'deep learning'
679, 'ai'
680, 'collaboration'
681, 'python']
682,[]
683,['artificial intelligence'
684, 'time series'
685, 'python'
686, 'programming language']
687,['simulation'
688, 'artificial intelligence'
689, 'engineering'
690, 'visualization'
691, 'computer science']
692,[]
693,['java'
694, 'software'
695, 'javascript'
696, 'support'
697, 'react'
698, 'business'
699, 'amp'
700, 'python']
